#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	2020-02-07	2020.102185	2020.023307	2020.161420
NODE_0000086	2020-03-10	2020.188743	2020.125136	2020.202040
EPI_ISL_790628	2020-03-30	2020.244536	2020.244536	2020.244536
NODE_0000087	2020-03-11	2020.191717	2020.164937	2020.217785
EPI_ISL_461159	2020-03-26	2020.233607	2020.233607	2020.233607
EPI_ISL_422746	2020-03-25	2020.230874	2020.230874	2020.230874
EPI_ISL_461276	2020-04-29	2020.326503	2020.326503	2020.326503
EPI_ISL_804381	2020-04-08	2020.269126	2020.269126	2020.269126
EPI_ISL_461165	2020-04-08	2020.269126	2020.269126	2020.269126
EPI_ISL_422749	2020-03-25	2020.230874	2020.230874	2020.230874
EPI_ISL_422630	2020-03-31	2020.247268	2020.247268	2020.247268
NODE_0000088	2020-03-20	2020.216855	2020.187577	2020.272360
EPI_ISL_447629	2020-04-29	2020.326503	2020.326503	2020.326503
NODE_0000089	2020-03-23	2020.225333	2020.195619	2020.288871
EPI_ISL_447630	2020-04-29	2020.326503	2020.326503	2020.326503
NODE_0000090	2020-04-13	2020.283670	2020.229940	2020.295155
EPI_ISL_523075	2020-04-27	2020.321038	2020.321038	2020.321038
NODE_0000091	2020-04-23	2020.310182	2020.266859	2020.315574
EPI_ISL_447632	2020-04-28	2020.323770	2020.323770	2020.323770
EPI_ISL_447627	2020-04-29	2020.326503	2020.326503	2020.326503
EPI_ISL_447631	2020-04-25	2020.315574	2020.315574	2020.315574
NODE_0000009	2020-04-27	2020.321038	2020.288917	2020.321038
EPI_ISL_523070	2020-04-27	2020.321038	2020.321038	2020.321038
EPI_ISL_447628	2020-04-29	2020.326503	2020.326503	2020.326503
NODE_0000010	2020-03-14	2020.199814	2020.182296	2020.219381
NODE_0000015	2020-03-17	2020.209863	2020.194457	2020.229542
NODE_0000016	2020-03-20	2020.217525	2020.206435	2020.236997
EPI_ISL_460792	2020-03-30	2020.244536	2020.244536	2020.244536
NODE_0000100	2020-04-11	2020.277447	2020.214087	2020.304706
EPI_ISL_461087	2020-05-08	2020.351093	2020.351093	2020.351093
EPI_ISL_461183	2020-04-26	2020.318306	2020.318306	2020.318306
NODE_0000019	2020-03-20	2020.217392	2020.206342	2020.235664
NODE_0000020	2020-03-26	2020.233756	2020.215598	2020.239071
EPI_ISL_2731376	2020-03-28	2020.239071	2020.239071	2020.239071
EPI_ISL_454794	2020-04-07	2020.266393	2020.266393	2020.266393
NODE_0000021	2020-03-26	2020.234179	2020.213887	2020.266393
EPI_ISL_460934	2020-04-12	2020.280055	2020.280055	2020.280055
EPI_ISL_1035223	2020-04-07	2020.266393	2020.266393	2020.266393
NODE_0000022	2020-03-17	2020.209174	2020.191105	2020.223277
NODE_0000023	2020-03-20	2020.217125	2020.190545	2020.250024
NODE_0000026	2020-03-23	2020.225471	2020.195949	2020.263661
EPI_ISL_460932	2020-04-10	2020.274590	2020.274590	2020.274590
EPI_ISL_2709002	2020-04-06	2020.263661	2020.263661	2020.263661
NODE_0000027	2020-03-23	2020.224989	2020.204756	2020.252732
EPI_ISL_461288	2020-04-02	2020.252732	2020.252732	2020.252732
EPI_ISL_460852	2020-04-13	2020.282787	2020.282787	2020.282787
NODE_0000029	2020-03-20	2020.217084	2020.203270	2020.228133
NODE_0000035	2020-03-23	2020.225561	2020.215687	2020.230874
EPI_ISL_460767	2020-03-25	2020.230874	2020.230874	2020.230874
EPI_ISL_460854	2020-04-30	2020.329235	2020.329235	2020.329235
NODE_0000036	2020-03-23	2020.225426	2020.196620	2020.260929
EPI_ISL_461186	2020-04-29	2020.326503	2020.326503	2020.326503
EPI_ISL_2708996	2020-04-05	2020.260929	2020.260929	2020.260929
NODE_0000117	2020-03-20	2020.216658	2020.189987	2020.384779
NODE_0000118	2020-05-01	2020.332569	2020.265847	2020.388915
EPI_ISL_523116	2020-06-01	2020.416667	2020.416667	2020.416667
NODE_0000119	2020-05-24	2020.394286	2020.359683	2020.427672
EPI_ISL_522987	2020-06-07	2020.433060	2020.433060	2020.433060
NODE_0000040	2020-06-05	2020.426522	2020.401187	2020.433060
EPI_ISL_522988	2020-06-07	2020.433060	2020.433060	2020.433060
EPI_ISL_1265367	2020-06-08	2020.435792	2020.435792	2020.435792
NODE_0000121	2020-04-29	2020.327437	2020.260668	2020.390844
EPI_ISL_523097	2020-05-30	2020.411202	2020.411202	2020.411202
NODE_0000122	2020-06-03	2020.422387	2020.390621	2020.449742
EPI_ISL_523023	2020-06-21	2020.471311	2020.471311	2020.471311
EPI_ISL_523025	2020-06-21	2020.471311	2020.471311	2020.471311
EPI_ISL_523044	2020-07-04	2020.506831	2020.506831	2020.506831
EPI_ISL_523043	2020-07-04	2020.506831	2020.506831	2020.506831
NODE_0000044	2020-06-07	2020.431881	2020.401612	2020.457588
NODE_0000045	2020-06-15	2020.453572	2020.403625	2020.468066
NODE_0000049	2020-06-21	2020.471311	2020.440535	2020.471311
EPI_ISL_523027	2020-06-21	2020.471311	2020.471311	2020.471311
EPI_ISL_523026	2020-06-21	2020.471311	2020.471311	2020.471311
NODE_0000050	2020-06-18	2020.461877	2020.411450	2020.495295
EPI_ISL_523045	2020-07-04	2020.506831	2020.506831	2020.506831
EPI_ISL_523041	2020-07-04	2020.506831	2020.506831	2020.506831
NODE_0000130	2020-06-26	2020.485362	2020.431682	2020.504923
EPI_ISL_523050	2020-07-05	2020.509563	2020.509563	2020.509563
EPI_ISL_523048	2020-07-05	2020.509563	2020.509563	2020.509563
NODE_0000052	2020-07-01	2020.499755	2020.436948	2020.509563
EPI_ISL_523049	2020-07-05	2020.509563	2020.509563	2020.509563
NODE_0000133	2020-07-03	2020.504376	2020.492265	2020.566940
EPI_ISL_577754	2020-08-08	2020.602459	2020.602459	2020.602459
EPI_ISL_523084	2020-07-26	2020.566940	2020.566940	2020.566940
NODE_0000135	2020-07-28	2020.573037	2020.529774	2020.593264
EPI_ISL_577750	2020-08-08	2020.602459	2020.602459	2020.602459
NODE_0000136	2020-08-05	2020.594868	2020.567713	2020.602459
EPI_ISL_577752	2020-08-08	2020.602459	2020.602459	2020.602459
EPI_ISL_577753	2020-08-08	2020.602459	2020.602459	2020.602459
NODE_0000081	2020-03-11	2020.191674	2020.168447	2020.194917
NODE_0000138	2020-07-01	2020.497363	2020.378086	2020.534924
EPI_ISL_523083	2020-07-26	2020.566940	2020.566940	2020.566940
EPI_ISL_523732	2020-07-16	2020.539617	2020.539617	2020.539617
NODE_0000084	2020-05-04	2020.339002	2020.324478	2020.414234
EPI_ISL_522995	2020-06-07	2020.433060	2020.433060	2020.433060
NODE_0000085	2020-05-30	2020.410879	2020.348809	2020.428777
EPI_ISL_522996	2020-06-07	2020.433060	2020.433060	2020.433060
EPI_ISL_522998	2020-06-07	2020.433060	2020.433060	2020.433060
NODE_0000079	2020-03-14	2020.201731	2020.189991	2020.230704
NODE_0000080	2020-03-22	2020.223318	2020.188396	2020.285519
