#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	2021-01-20	2021.053123	2020.968163	2021.108194
NODE_0000031	2021-03-08	2021.181529	2021.157539	2021.199998
EPI_ISL_1613477	2021-03-16	2021.204110	2021.204110	2021.204110
EPI_ISL_1613501	2021-03-16	2021.204110	2021.204110	2021.204110
NODE_0000003	2021-02-24	2021.148931	2021.143770	2021.163164
EPI_ISL_1613374	2021-03-15	2021.201370	2021.201370	2021.201370
EPI_ISL_2799301	2021-03-31	2021.245205	2021.245205	2021.245205
NODE_0000026	2021-03-09	2021.183625	2021.172201	2021.198289
EPI_ISL_1591005	2021-03-17	2021.206849	2021.206849	2021.206849
NODE_0000005	2021-03-12	2021.193384	2021.177908	2021.204083
EPI_ISL_1591021	2021-03-17	2021.206849	2021.206849	2021.206849
EPI_ISL_8403005	2021-03-17	2021.206849	2021.206849	2021.206849
NODE_0000000	2021-02-26	2021.155078	2021.144837	2021.168786
EPI_ISL_9034277	2021-04-29	2021.324658	2021.324658	2021.324658
EPI_ISL_2799691	2021-04-10	2021.272603	2021.272603	2021.272603
NODE_0000002	2021-03-07	2021.179788	2021.173320	2021.187277
EPI_ISL_1590910	2021-03-10	2021.187671	2021.187671	2021.187671
EPI_ISL_8403183	2021-03-15	2021.201370	2021.201370	2021.201370
NODE_0000021	2021-03-10	2021.188974	2021.175138	2021.199754
EPI_ISL_2799713	2021-04-10	2021.272603	2021.272603	2021.272603
NODE_0000010	2021-03-14	2021.197369	2021.183472	2021.205947
EPI_ISL_2799311	2021-04-01	2021.247945	2021.247945	2021.247945
NODE_0000011	2021-03-18	2021.209589	2021.191669	2021.209589
EPI_ISL_8403006	2021-03-18	2021.209589	2021.209589	2021.209589
EPI_ISL_8501754	2021-04-01	2021.247945	2021.247945	2021.247945
NODE_0000012	2021-02-24	2021.148877	2021.144230	2021.164863
EPI_ISL_1590834	2021-03-09	2021.184932	2021.184932	2021.184932
NODE_0000014	2021-02-24	2021.149213	2021.144206	2021.164908
NODE_0000013	2021-03-08	2021.181086	2021.168983	2021.195137
EPI_ISL_1590962	2021-03-15	2021.201370	2021.201370	2021.201370
EPI_ISL_1591022	2021-03-17	2021.206849	2021.206849	2021.206849
NODE_0000016	2021-02-24	2021.149213	2021.144306	2021.165316
NODE_0000009	2021-02-28	2021.161507	2021.144556	2021.173073
EPI_ISL_1591019	2021-03-16	2021.204110	2021.204110	2021.204110
EPI_ISL_8501762	2021-04-02	2021.250685	2021.250685	2021.250685
EPI_ISL_8385897	2021-03-25	2021.228767	2021.228767	2021.228767
EPI_ISL_2141549	2021-03-18	2021.209589	2021.209589	2021.209589
NODE_0000018	2021-02-26	2021.156134	2021.142327	2021.164898
NODE_0000004	2021-03-21	2021.219157	2021.190324	2021.244350
EPI_ISL_2799390	2021-04-01	2021.247945	2021.247945	2021.247945
EPI_ISL_2799961	2021-04-19	2021.297260	2021.297260	2021.297260
NODE_0000020	2021-02-26	2021.155901	2021.144099	2021.166292
EPI_ISL_1590844	2021-03-11	2021.190411	2021.190411	2021.190411
NODE_0000022	2021-02-26	2021.156026	2021.144121	2021.167933
EPI_ISL_2800256	2021-04-22	2021.305479	2021.305479	2021.305479
NODE_0000023	2021-03-01	2021.161791	2021.143334	2021.170100
EPI_ISL_1590870	2021-03-09	2021.184932	2021.184932	2021.184932
NODE_0000024	2021-03-01	2021.162025	2021.143324	2021.173647
NODE_0000025	2021-03-03	2021.168486	2021.143126	2021.187561
EPI_ISL_2799966	2021-04-19	2021.297260	2021.297260	2021.297260
EPI_ISL_1590515	2021-03-10	2021.187671	2021.187671	2021.187671
NODE_0000015	2021-03-05	2021.174638	2021.160771	2021.180932
EPI_ISL_1590867	2021-03-10	2021.187671	2021.187671	2021.187671
NODE_0000027	2021-03-07	2021.180626	2021.162678	2021.184932
EPI_ISL_8403171	2021-03-09	2021.184932	2021.184932	2021.184932
NODE_0000028	2021-03-07	2021.180748	2021.166993	2021.201370
EPI_ISL_1590972	2021-03-15	2021.201370	2021.201370	2021.201370
EPI_ISL_8403007	2021-03-18	2021.209589	2021.209589	2021.209589
NODE_0000032	2021-02-26	2021.155611	2021.153214	2021.181531
EPI_ISL_1591012	2021-03-16	2021.204110	2021.204110	2021.204110
NODE_0000033	2021-03-12	2021.193363	2021.175360	2021.224172
EPI_ISL_2141910	2021-04-28	2021.321918	2021.321918	2021.321918
NODE_0000034	2021-03-17	2021.206485	2021.190467	2021.238470
EPI_ISL_2141686	2021-04-09	2021.269863	2021.269863	2021.269863
EPI_ISL_8501747	2021-04-06	2021.261644	2021.261644	2021.261644
EPI_ISL_8564587	2021-07-15	2021.535616	2021.535616	2021.535616
NODE_0000037	2021-03-26	2021.231407	2021.205101	2021.243393
EPI_ISL_2141683	2021-04-09	2021.269863	2021.269863	2021.269863
EPI_ISL_2141681	2021-04-12	2021.278082	2021.278082	2021.278082
NODE_0000035	2021-03-27	2021.235582	2021.214236	2021.248498
NODE_0000036	2021-03-30	2021.242692	2021.218397	2021.278676
EPI_ISL_2141902	2021-04-28	2021.321918	2021.321918	2021.321918
NODE_0000045	2021-04-20	2021.300232	2021.270745	2021.356956
EPI_ISL_8527349	2021-10-07	2021.765753	2021.765753	2021.765753
EPI_ISL_8174953	2021-07-29	2021.573973	2021.573973	2021.573973
NODE_0000038	2021-03-28	2021.236876	2021.221513	2021.253989
NODE_0000039	2021-03-30	2021.243213	2021.229302	2021.263319
EPI_ISL_4548649	2021-07-01	2021.497260	2021.497260	2021.497260
EPI_ISL_2141685	2021-04-09	2021.269863	2021.269863	2021.269863
NODE_0000040	2021-04-02	2021.251404	2021.220137	2021.262231
NODE_0000041	2021-04-05	2021.258472	2021.227935	2021.267123
EPI_ISL_2141680	2021-04-08	2021.267123	2021.267123	2021.267123
EPI_ISL_2141761	2021-04-14	2021.283562	2021.283562	2021.283562
NODE_0000042	2021-04-05	2021.258015	2021.224774	2021.293688
EPI_ISL_2141906	2021-04-27	2021.319178	2021.319178	2021.319178
EPI_ISL_2141905	2021-04-23	2021.308219	2021.308219	2021.308219
NODE_0000048	2021-03-28	2021.237466	2021.222030	2021.251515
EPI_ISL_2141898	2021-04-28	2021.321918	2021.321918	2021.321918
EPI_ISL_2141899	2021-04-28	2021.321918	2021.321918	2021.321918
EPI_ISL_2141904	2021-04-23	2021.308219	2021.308219	2021.308219
NODE_0000044	2021-03-30	2021.242308	2021.227780	2021.260414
EPI_ISL_2141684	2021-04-09	2021.269863	2021.269863	2021.269863
NODE_0000046	2021-04-05	2021.258472	2021.225836	2021.281710
EPI_ISL_2141762	2021-04-14	2021.283562	2021.283562	2021.283562
EPI_ISL_2141903	2021-04-28	2021.321918	2021.321918	2021.321918
NODE_0000054	2021-03-30	2021.242747	2021.233962	2021.258091
EPI_ISL_2141909	2021-04-27	2021.319178	2021.319178	2021.319178
NODE_0000056	2021-04-04	2021.256870	2021.237733	2021.269194
EPI_ISL_2141682	2021-04-12	2021.278082	2021.278082	2021.278082
EPI_ISL_2141907	2021-04-27	2021.319178	2021.319178	2021.319178
NODE_0000057	2021-04-19	2021.297203	2021.257195	2021.321255
NODE_0000058	2021-09-09	2021.688896	2021.643191	2021.737732
EPI_ISL_8514993	2021-09-29	2021.743836	2021.743836	2021.743836
NODE_0000051	2021-09-21	2021.721675	2021.671917	2021.747651
EPI_ISL_8527352	2021-10-07	2021.765753	2021.765753	2021.765753
EPI_ISL_8527347	2021-10-13	2021.782192	2021.782192	2021.782192
NODE_0000060	2021-05-06	2021.343979	2021.294174	2021.374753
NODE_0000061	2021-05-30	2021.410697	2021.346372	2021.462189
EPI_ISL_4548647	2021-07-06	2021.510959	2021.510959	2021.510959
NODE_0000062	2021-06-28	2021.488157	2021.438276	2021.508555
EPI_ISL_4548648	--	--	--	--
EPI_ISL_4548650	2021-07-06	2021.510959	2021.510959	2021.510959
NODE_0000063	2021-08-07	2021.598854	2021.522579	2021.696895
EPI_ISL_8514994	2021-09-29	2021.743836	2021.743836	2021.743836
NODE_0000064	2021-09-11	2021.694403	2021.646077	2021.727397
EPI_ISL_8514997	2021-09-23	2021.727397	2021.727397	2021.727397
EPI_ISL_8514995	2021-09-29	2021.743836	2021.743836	2021.743836
